Município,População_residente
PRESIDENTE VARGAS,11328
PRIMEIRA CRUZ,15545
RAPOSA,31586
RIACHAO-MA,20288
RIBAMAR FIQUENE,7859
ROSARIO,43243
SAMBAIBA,5686
SANTA FILOMENA DO MARANHAO,7878
SANTA HELENA-MA,42829
SANTA INES-MA,89927
SANTA LUZIA-MA,73105
SANTA LUZIA DO PARUA,25487
SANTA QUITERIA DO MARANHAO,25884
SANTA RITA-MA,38732
SANTANA DO MARANHAO,13704
SANTO AMARO DO MARANHAO,16219
SANTO ANTONIO DOS LOPES,14516
SAO BENEDITO DO RIO PRETO,18769
SAO BENTO-MA,45989
SAO BERNARDO,28825
SAO DOMINGOS DO AZEITAO,7448
SAO DOMINGOS DO MARANHAO,34391
SAO FELIX DE BALSAS,4540
SAO FRANCISCO DO BREJAO,12082
SAO FRANCISCO DO MARANHAO,12226
SAO JOAO BATISTA-MA,20736
SAO JOAO DO CARU,15768
SAO JOAO DO PARAISO-MA,11207
SAO JOAO DO SOTER,18746
SAO JOAO DOS PATOS,26063
SAO JOSE DE RIBAMAR,180345
SAO JOSE DOS BASILIOS,7639
SAO LUIS,1115932
SAO LUIS GONZAGA DO MARANHAO,18600
SAO MATEUS DO MARANHAO,41750
SAO PEDRO DA AGUA BRANCA,12779
SAO PEDRO DOS CRENTES,4700
SAO RAIMUNDO DAS MANGABEIRAS,19090
SAO RAIMUNDO DO DOCA BEZERRA,5028
SAO ROBERTO,6856
SAO VICENTE FERRER-MA,22452
SATUBINHA,14274
SENADOR ALEXANDRE COSTA,11285
SENADOR LA ROCQUE,13981
SERRANO DO MARANHAO,10343
SITIO NOVO-MA,18237
SUCUPIRA DO NORTE,10631
SUCUPIRA DO RIACHAO,5692
TASSO FRAGOSO,8642
TIMBIRAS,29241
TIMON,171317
TRIZIDELA DO VALE,22223
TUFILANDIA,5868
TUNTUM,42242
TURIACU,35811
TURILANDIA,26112
TUTOIA,59927
URBANO SANTOS,33791
VARGEM GRANDE,57813
VIANA-MA,52852
VILA NOVA DOS MARTIRIOS,13800
VITORIA DO MEARIM,32956
VITORINO FREIRE,31520
ZE DOCA,52190
ACAUA,7119
AGRICOLANDIA,5123
AGUA BRANCA-PI,17525
ALAGOINHA DO PIAUI,7678
ALEGRETE DO PIAUI,4921
ALTO LONGA,14371
ALTOS,40681
ALVORADA DO GURGUEIA,5469
AMARANTE,17609
ANGICAL DO PIAUI,6779
ANISIO DE ABREU,9994
ANTONIO ALMEIDA,3175
AROAZES,5819
AROEIRAS DO ITAIM,2551
ARRAIAL,4713
ASSUNCAO DO PIAUI,7879
AVELINO LOPES,11361
BAIXA GRANDE DO RIBEIRO,11751
BARRA D'ALCANTARA,3953
BARRAS,47298
BARREIRAS DO PIAUI,3356
BARRO DURO,7022
BATALHA-PI,26951
BELA VISTA DO PIAUI,4044
BELEM DO PIAUI,3607
BENEDITINOS,10479
BERTOLINIA,5512
BETANIA DO PIAUI,6214
BOA HORA,6848
BOCAINA-PI,4509
BOM JESUS-PI,25584
BOM PRINCIPIO DO PIAUI,5670
BONFIM DO PIAUI,5700
BOQUEIRAO DO PIAUI,6443
BRASILEIRA,8364
BREJO DO PIAUI,3824
BURITI DOS LOPES,19832
BURITI DOS MONTES,8282
CABECEIRAS DO PIAUI,10671
CAJAZEIRAS DO PIAUI,3586
CAJUEIRO DA PRAIA,7704
CALDEIRAO GRANDE DO PIAUI,5786
CAMPINAS DO PIAUI,5628
CAMPO ALEGRE DO FIDALGO,5093
CAMPO GRANDE DO PIAUI,5987
CAMPO LARGO DO PIAUI,7342
CAMPO MAIOR,46950
CANAVIEIRA,3938
CANTO DO BURITI,21326
CAPITAO DE CAMPOS,11471
CAPITAO GERVASIO OLIVEIRA,4127
CARACOL-PI,11009
CARAUBAS DO PIAUI,5910
CARIDADE DO PIAUI,5102
CASTELO DO PIAUI,19716
CAXINGO,5477
COCAL,27901
COCAL DE TELHA,4908
COCAL DOS ALVES,6180
COIVARAS,4044
COLONIA DO GURGUEIA,6545
COLONIA DO PIAUI,7665
CONCEICAO DO CANINDE,4811
CORONEL JOSE DIAS,4688
CORRENTE,26771
CRISTALANDIA DO PIAUI,8350
CRISTINO CASTRO,10464
CURIMATA,11461
CURRAIS,4982
CURRALINHOS,4475
CURRAL NOVO DO PIAUI,5390
DEMERVAL LOBAO,13862
DIRCEU ARCOVERDE,7046
