Per�odo:Ago/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210927 PRESIDENTE SARNEY";74;74;22615,13;18957,98;-;-;3657,15;-;-;305,61;305,61;222;3,0;-;-
"210930 PRESIDENTE VARGAS";35;35;10044,80;8373,62;-;-;1671,18;-;-;286,99;286,99;123;3,5;-;-
"210940 PRIMEIRA CRUZ";87;87;24635,91;21279,52;-;-;3356,39;-;-;283,17;283,17;435;5,0;-;-
"210945 RAPOSA";28;28;16270,81;14571,95;-;-;1698,86;-;-;581,10;581,10;75;2,7;-;-
"210950 RIACHAO";170;170;58498,06;50204,08;-;-;8293,98;-;-;344,11;344,11;444;2,6;-;-
"210960 ROSARIO";205;205;62924,91;53412,16;-;-;9512,75;-;-;306,95;306,95;527;2,6;-;-
"210970 SAMBAIBA";33;33;8969,13;7538,67;-;-;1430,46;-;-;271,79;271,79;132;4,0;-;-
"210980 SANTA HELENA";143;143;54732,77;38909,69;-;-;15823,08;-;-;382,75;382,75;289;2,0;2;1,40
"210990 SANTA INES";1147;1147;766569,12;600989,50;-;-;165579,62;-;-;668,33;668,33;3922;3,4;24;2,09
"211000 SANTA LUZIA";276;276;140097,87;98043,26;-;-;42054,61;-;-;507,60;507,60;811;2,9;-;-
"211003 SANTA LUZIA DO PARUA";320;320;218182,49;165575,77;-;-;52606,72;-;-;681,82;681,82;1149;3,6;11;3,44
"211010 SANTA QUITERIA DO MARANHAO";156;156;71107,26;52442,31;-;-;18664,95;-;-;455,82;455,82;335;2,1;-;-
"211020 SANTA RITA";165;165;64190,36;49196,73;-;-;14993,63;-;-;389,03;389,03;397;2,4;-;-
"211023 SANTANA DO MARANHAO";57;57;25322,72;18912,28;-;-;6410,44;-;-;444,26;444,26;153;2,7;-;-
"211027 SANTO AMARO DO MARANHAO";35;35;13367,32;11385,32;-;-;1982,00;-;-;381,92;381,92;137;3,9;-;-
"211030 SANTO ANTONIO DOS LOPES";70;70;25679,76;22368,93;-;-;3310,83;-;-;366,85;366,85;350;5,0;-;-
"211040 SAO BENEDITO DO RIO PRETO";79;79;30013,96;23033,23;-;-;6980,73;-;-;379,92;379,92;306;3,9;-;-
"211050 SAO BENTO";161;161;58509,73;44222,91;-;-;14286,82;-;-;363,41;363,41;558;3,5;-;-
"211060 SAO BERNARDO";162;162;52871,53;42809,83;-;-;10061,70;-;-;326,37;326,37;590;3,6;-;-
"211065 SAO DOMINGOS DO AZEITAO";50;50;14131,08;12290,59;-;-;1840,49;-;-;282,62;282,62;123;2,5;-;-
"211070 SAO DOMINGOS DO MARANHAO";151;151;76342,03;58206,55;-;-;18135,48;-;-;505,58;505,58;461;3,1;-;-
"211080 SAO FELIX DE BALSAS";21;21;8018,60;7149,52;-;-;869,08;-;-;381,84;381,84;54;2,6;1;4,76
"211085 SAO FRANCISCO DO BREJAO";36;36;11311,74;9790,05;-;-;1521,69;-;-;314,22;314,22;95;2,6;-;-
"211090 SAO FRANCISCO DO MARANHAO";52;52;24753,08;21557,39;-;-;3195,69;-;-;476,02;476,02;154;3,0;-;-
"211100 SAO JOAO BATISTA";125;125;44266,28;36128,76;-;-;8137,52;-;-;354,13;354,13;245;2,0;1;0,80
"211102 SAO JOAO DO CARU";37;37;13016,18;10595,57;-;-;2420,61;-;-;351,79;351,79;84;2,3;-;-
"211107 SAO JOAO DO SOTER";98;98;40199,57;31948,21;-;-;8251,36;-;-;410,20;410,20;293;3,0;-;-
"211110 SAO JOAO DOS PATOS";97;97;31400,26;27245,70;-;-;4154,56;-;-;323,71;323,71;278;2,9;1;1,03
"211120 SAO JOSE DE RIBAMAR";260;260;135023,53;83300,26;-;-;51723,27;-;-;519,32;519,32;582;2,2;-;-
"211125 SAO JOSE DOS BASILIOS";42;42;8857,93;7541,87;-;-;1316,06;-;-;210,90;210,90;114;2,7;-;-
"211130 SAO LUIS";10547;10127;19120031,91;15287388,92;-;-;3832642,99;-;-;1812,84;1888,03;93336;9,2;545;5,38
"211140 SAO LUIS GONZAGA DO MARANHAO";167;167;50576,49;43291,80;-;-;7284,69;-;-;302,85;302,85;524;3,1;-;-
"211150 SAO MATEUS DO MARANHAO";120;120;21098,96;18050,86;-;-;3048,10;-;-;175,82;175,82;263;2,2;2;1,67
"211153 SAO PEDRO DA AGUA BRANCA";73;73;27820,59;23629,73;-;-;4190,86;-;-;381,10;381,10;244;3,3;-;-
"211157 SAO PEDRO DOS CRENTES";92;92;22638,46;19299,40;-;-;3339,06;-;-;246,07;246,07;467;5,1;-;-
"211160 SAO RAIMUNDO DAS MANGABEIRAS";108;108;44556,43;39014,57;-;-;5541,86;-;-;412,56;412,56;317;2,9;-;-
"211163 SAO RAIMUNDO DO DOCA BEZERRA";25;25;1120,75;845,05;-;-;275,70;-;-;44,83;44,83;25;1,0;-;-
"211170 SAO VICENTE FERRER";96;96;32004,11;25187,97;-;-;6816,14;-;-;333,38;333,38;259;2,7;-;-
"211172 SATUBINHA";91;91;37948,89;32844,23;-;-;5104,66;-;-;417,02;417,02;218;2,4;1;1,10
"211174 SENADOR ALEXANDRE COSTA";59;59;18362,18;14978,07;-;-;3384,11;-;-;311,22;311,22;153;2,6;-;-
"211178 SERRANO DO MARANHAO";58;58;16504,59;14334,69;-;-;2169,90;-;-;284,56;284,56;179;3,1;-;-
"211180 SITIO NOVO";113;113;42628,26;33847,93;-;-;8780,33;-;-;377,24;377,24;310;2,7;-;-
"211190 SUCUPIRA DO NORTE";69;69;27274,09;23527,98;-;-;3746,11;-;-;395,28;395,28;150;2,2;-;-
"211195 SUCUPIRA DO RIACHAO";24;24;7335,84;6395,66;-;-;940,18;-;-;305,66;305,66;39;1,6;-;-
"211200 TASSO FRAGOSO";17;17;6695,47;5698,98;-;-;996,49;-;-;393,85;393,85;76;4,5;-;-
"211210 TIMBIRAS";312;312;191937,38;128000,83;-;-;63936,55;-;-;615,18;615,18;763;2,4;1;0,32
"211220 TIMON";658;658;487343,59;350200,02;-;-;137143,57;-;-;740,64;740,64;2743;4,2;15;2,28
"211223 TRIZIDELA DO VALE";119;119;44489,14;32651,01;-;-;11838,13;-;-;373,86;373,86;267;2,2;3;2,52
"211227 TUFILANDIA";9;9;3472,95;3053,71;-;-;419,24;-;-;385,88;385,88;86;9,6;-;-
"211230 TUNTUM";100;100;53050,43;37812,81;-;-;15237,62;-;-;530,50;530,50;204;2,0;-;-
"211240 TURIACU";114;114;56232,24;43029,93;-;-;13202,31;-;-;493,27;493,27;302;2,6;1;0,88
"211250 TUTOIA";196;196;93083,87;64903,05;-;-;28180,82;-;-;474,92;474,92;568;2,9;1;0,51
"211260 URBANO SANTOS";143;143;59346,34;44988,73;-;-;14357,61;-;-;415,01;415,01;357;2,5;1;0,70
