Per�odo:Out/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"211153 SAO PEDRO DA AGUA BRANCA";75;75;35006,81;30799,39;-;-;4207,42;-;-;466,76;466,76;165;2,2;-;-
"211157 SAO PEDRO DOS CRENTES";92;92;24608,49;20855,09;-;-;3753,40;-;-;267,48;267,48;461;5,0;-;-
"211160 SAO RAIMUNDO DAS MANGABEIRAS";107;107;48298,46;42629,08;-;-;5669,38;-;-;451,39;451,39;284;2,7;-;-
"211163 SAO RAIMUNDO DO DOCA BEZERRA";30;30;1347,95;1016,37;-;-;331,58;-;-;44,93;44,93;30;1,0;-;-
"211170 SAO VICENTE FERRER";124;124;45487,31;35822,11;-;-;9665,20;-;-;366,83;366,83;311;2,5;2;1,61
"211172 SATUBINHA";83;83;30687,05;26004,58;-;-;4682,47;-;-;369,72;369,72;172;2,1;-;-
"211174 SENADOR ALEXANDRE COSTA";60;60;19075,30;16141,84;-;-;2933,46;-;-;317,92;317,92;183;3,0;-;-
"211178 SERRANO DO MARANHAO";58;58;16331,90;14174,89;-;-;2157,01;-;-;281,58;281,58;125;2,2;-;-
"211180 SITIO NOVO";106;106;34930,28;28160,26;-;-;6770,02;-;-;329,53;329,53;290;2,7;2;1,89
"211190 SUCUPIRA DO NORTE";72;72;28686,25;24443,39;-;-;4242,86;-;-;398,42;398,42;157;2,2;-;-
"211195 SUCUPIRA DO RIACHAO";16;16;4632,25;3955,90;-;-;676,35;-;-;289,52;289,52;58;3,6;1;6,25
"211200 TASSO FRAGOSO";19;19;9425,36;8071,14;-;-;1354,22;-;-;496,07;496,07;59;3,1;-;-
"211210 TIMBIRAS";313;313;173373,37;122101,09;-;-;51272,28;-;-;553,91;553,91;886;2,8;5;1,60
"211220 TIMON";676;676;587547,29;457173,57;-;-;130373,72;-;-;869,15;869,15;3088;4,6;22;3,25
"211223 TRIZIDELA DO VALE";117;117;34462,76;25878,98;-;-;8583,78;-;-;294,55;294,55;244;2,1;-;-
"211227 TUFILANDIA";9;9;2671,01;2325,96;-;-;345,05;-;-;296,78;296,78;18;2,0;-;-
"211230 TUNTUM";103;103;43256,23;32035,23;-;-;11221,00;-;-;419,96;419,96;215;2,1;-;-
"211240 TURIACU";108;108;50515,91;37727,59;-;-;12788,32;-;-;467,74;467,74;296;2,7;-;-
"211250 TUTOIA";128;128;60839,57;39999,80;-;-;20839,77;-;-;475,31;475,31;350;2,7;1;0,78
"211260 URBANO SANTOS";143;143;57569,62;44243,03;-;-;13326,59;-;-;402,58;402,58;375;2,6;-;-
"211270 VARGEM GRANDE";177;177;57247,34;43089,54;-;-;14157,80;-;-;323,43;323,43;511;2,9;3;1,69
"211280 VIANA";269;269;137392,63;105728,89;-;-;31663,74;-;-;510,75;510,75;1108;4,1;8;2,97
"211285 VILA NOVA DOS MARTIRIOS";53;53;20055,42;16951,77;-;-;3103,65;-;-;378,40;378,40;121;2,3;-;-
"211290 VITORIA DO MEARIM";43;43;18182,57;14282,19;-;-;3900,38;-;-;422,85;422,85;153;3,6;1;2,33
"211300 VITORINO FREIRE";7;7;1865,15;1432,92;-;-;432,23;-;-;266,45;266,45;8;1,1;-;-
"211400 ZE DOCA";327;327;142858,36;112581,26;-;-;30277,10;-;-;436,88;436,88;1382;4,2;3;0,92
"220010 AGRICOLANDIA";9;9;397,98;300,06;-;-;97,92;-;-;44,22;44,22;9;1,0;-;-
"220020 AGUA BRANCA";58;58;30127,36;23481,62;-;-;6645,74;-;-;519,44;519,44;190;3,3;-;-
"220025 ALAGOINHA DO PIAUI";18;18;4827,72;4203,80;-;-;623,92;-;-;268,21;268,21;55;3,1;-;-
"220030 ALTO LONGA";20;20;6105,99;4975,35;-;-;1130,64;-;-;305,30;305,30;65;3,3;-;-
"220040 ALTOS";101;101;43698,07;36764,88;-;-;6933,19;-;-;432,65;432,65;363;3,6;3;2,97
"220050 AMARANTE";101;101;34277,55;28372,06;-;-;5905,49;-;-;339,38;339,38;231;2,3;3;2,97
"220100 ARRAIAL";3;3;990,77;839,87;-;-;150,90;-;-;330,26;330,26;7;2,3;-;-
"220120 BARRAS";170;170;94134,78;70454,72;-;-;23680,06;-;-;553,73;553,73;547;3,2;4;2,35
"220150 BATALHA";91;91;42278,36;36319,11;-;-;5959,25;-;-;464,60;464,60;268;2,9;-;-
"220160 BENEDITINOS";14;14;6258,55;5190,02;-;-;1068,53;-;-;447,04;447,04;56;4,0;-;-
"220180 BOCAINA";30;30;17608,72;15676,52;-;-;1932,20;-;-;586,96;586,96;67;2,2;-;-
"220190 BOM JESUS";433;433;237341,83;183827,50;-;-;53514,33;-;-;548,13;548,13;1546;3,6;11;2,54
"220220 CAMPO MAIOR";358;358;164373,58;116173,81;-;-;48199,77;-;-;459,14;459,14;1458;4,1;15;4,19
