Per�odo:Nov/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"211153 SAO PEDRO DA AGUA BRANCA";81;81;37645,00;32889,87;-;-;4755,13;-;-;464,75;464,75;178;2,2;-;-
"211157 SAO PEDRO DOS CRENTES";90;90;22303,34;19338,68;-;-;2964,66;-;-;247,81;247,81;455;5,1;-;-
"211160 SAO RAIMUNDO DAS MANGABEIRAS";107;107;63385,78;57094,21;-;-;6291,57;-;-;592,39;592,39;328;3,1;-;-
"211163 SAO RAIMUNDO DO DOCA BEZERRA";20;20;902,70;680,66;-;-;222,04;-;-;45,13;45,13;-;-;-;-
"211170 SAO VICENTE FERRER";113;113;37744,35;29145,20;-;-;8599,15;-;-;334,02;334,02;256;2,3;-;-
"211172 SATUBINHA";93;93;39906,36;33695,25;-;-;6211,11;-;-;429,10;429,10;206;2,2;-;-
"211174 SENADOR ALEXANDRE COSTA";58;58;18503,83;15808,86;-;-;2694,97;-;-;319,03;319,03;186;3,2;-;-
"211180 SITIO NOVO";106;106;33167,68;26739,05;-;-;6428,63;-;-;312,90;312,90;253;2,4;-;-
"211190 SUCUPIRA DO NORTE";10;10;4968,79;4226,68;-;-;742,11;-;-;496,88;496,88;21;2,1;-;-
"211195 SUCUPIRA DO RIACHAO";30;30;11486,34;10021,29;-;-;1465,05;-;-;382,88;382,88;107;3,6;1;3,33
"211200 TASSO FRAGOSO";11;11;5006,97;4300,23;-;-;706,74;-;-;455,18;455,18;50;4,5;-;-
"211210 TIMBIRAS";284;284;159912,68;112537,37;-;-;47375,31;-;-;563,07;563,07;690;2,4;8;2,82
"211220 TIMON";435;435;284585,25;205021,96;-;-;79563,29;-;-;654,22;654,22;1974;4,5;6;1,38
"211223 TRIZIDELA DO VALE";117;117;38494,00;27747,81;-;-;10746,19;-;-;329,01;329,01;224;1,9;1;0,85
"211227 TUFILANDIA";13;13;4913,95;4241,18;-;-;672,77;-;-;378,00;378,00;26;2,0;-;-
"211230 TUNTUM";40;40;21212,73;13669,19;-;-;7543,54;-;-;530,32;530,32;51;1,3;-;-
"211240 TURIACU";111;111;50682,16;38440,87;-;-;12241,29;-;-;456,60;456,60;331;3,0;-;-
"211250 TUTOIA";153;153;69109,02;50321,00;-;-;18788,02;-;-;451,69;451,69;522;3,4;-;-
"211260 URBANO SANTOS";143;143;55854,20;43940,36;-;-;11913,84;-;-;390,59;390,59;371;2,6;-;-
"211270 VARGEM GRANDE";181;181;64986,47;50613,76;-;-;14372,71;-;-;359,04;359,04;424;2,3;2;1,10
