Per�odo:Jun/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110018 PIMENTA BUENO";372;372;139241,37;113519,40;-;-;25721,97;-;-;374,30;374,30;663;1,8;3;0,81
"110020 PORTO VELHO";3152;3152;4757276,33;3952004,21;-;-;805272,12;-;-;1509,29;1509,29;20001;6,3;151;4,79
"110025 PRESIDENTE MEDICI";71;71;34816,32;24954,01;-;-;9862,31;-;-;490,37;490,37;225;3,2;-;-
"110028 ROLIM DE MOURA";270;270;115447,84;84105,48;-;-;31342,36;-;-;427,58;427,58;627;2,3;3;1,11
"110029 SANTA LUZIA D'OESTE";100;100;34768,73;29782,10;-;-;4986,63;-;-;347,69;347,69;376;3,8;-;-
"110030 VILHENA";574;574;561055,79;438108,41;-;-;122947,38;-;-;977,45;977,45;3066;5,3;25;4,36
"110032 SAO MIGUEL DO GUAPORE";147;147;63851,33;52671,10;-;-;11180,23;-;-;434,36;434,36;312;2,1;2;1,36
"110033 NOVA MAMORE";98;98;37408,05;28834,41;-;-;8573,64;-;-;381,71;381,71;391;4,0;-;-
"110034 ALVORADA D'OESTE";96;96;31964,07;25191,37;-;-;6772,70;-;-;332,96;332,96;266;2,8;-;-
"110037 ALTO ALEGRE DOS PARECIS";40;40;15146,20;13259,51;-;-;1886,69;-;-;378,65;378,65;123;3,1;-;-
"110040 ALTO PARAISO";38;38;14376,58;12463,86;-;-;1912,72;-;-;378,33;378,33;70;1,8;-;-
"110045 BURITIS";48;48;21564,09;16943,84;-;-;4620,25;-;-;449,25;449,25;144;3,0;2;4,17
"110050 NOVO HORIZONTE DO OESTE";36;36;12705,17;11119,00;-;-;1586,17;-;-;352,92;352,92;124;3,4;-;-
"110060 CACAULANDIA";6;6;2721,53;2463,70;-;-;257,83;-;-;453,59;453,59;12;2,0;-;-
"110070 CAMPO NOVO DE RONDONIA";9;9;3567,04;3097,99;-;-;469,05;-;-;396,34;396,34;21;2,3;-;-
"110094 CUJUBIM";48;48;17646,08;15163,95;-;-;2482,13;-;-;367,63;367,63;-;-;1;2,08
"110100 GOVERNADOR JORGE TEIXEIRA";12;12;4562,91;3989,46;-;-;573,45;-;-;380,24;380,24;28;2,3;-;-
"110110 ITAPUA DO OESTE";8;8;2220,42;1885,81;-;-;334,61;-;-;277,55;277,55;10;1,3;-;-
"110120 MINISTRO ANDREAZZA";12;12;4886,15;4342,74;-;-;543,41;-;-;407,18;407,18;45;3,8;-;-
"110130 MIRANTE DA SERRA";49;49;22629,56;19849,26;-;-;2780,30;-;-;461,83;461,83;130;2,7;1;2,04
