Per�odo:Fev/2023
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110050 NOVO HORIZONTE DO OESTE";45;45;24080,75;21458,49;-;-;2622,26;-;-;535,13;535,13;149;3,3;-;-
"110060 CACAULANDIA";2;2;913,13;831,09;-;-;82,04;-;-;456,56;456,56;5;2,5;-;-
"110070 CAMPO NOVO DE RONDONIA";10;10;3183,23;2654,81;-;-;528,42;-;-;318,32;318,32;29;2,9;-;-
"110080 CANDEIAS DO JAMARI";11;11;4585,69;4129,26;-;-;456,43;-;-;416,88;416,88;33;3,0;-;-
"110094 CUJUBIM";30;30;9640,31;7861,15;-;-;1779,16;-;-;321,34;321,34;-;-;1;3,33
"110100 GOVERNADOR JORGE TEIXEIRA";16;16;5838,14;5064,38;-;-;773,76;-;-;364,88;364,88;42;2,6;-;-
"110120 MINISTRO ANDREAZZA";21;21;8155,06;7149,51;-;-;1005,55;-;-;388,34;388,34;66;3,1;1;4,76
"110130 MIRANTE DA SERRA";57;57;26343,71;22663,88;-;-;3679,83;-;-;462,17;462,17;530;9,3;-;-
"110140 MONTE NEGRO";35;35;18605,57;14968,03;-;-;3637,54;-;-;531,59;531,59;142;4,1;-;-
"110143 NOVA UNIAO";9;9;3194,64;2719,95;-;-;474,69;-;-;354,96;354,96;28;3,1;-;-
"110145 PARECIS";37;37;8257,11;6959,69;-;-;1297,42;-;-;223,17;223,17;37;1,0;-;-
"110146 PIMENTEIRAS DO OESTE";6;6;1654,93;1348,57;-;-;306,36;-;-;275,82;275,82;15;2,5;-;-
"110149 SAO FRANCISCO DO GUAPORE";43;43;18628,85;13795,91;-;-;4832,94;-;-;433,23;433,23;77;1,8;-;-
"110150 SERINGUEIRAS";80;80;32895,34;24889,36;-;-;8005,98;-;-;411,19;411,19;242;3,0;-;-
"110155 TEIXEIROPOLIS";2;2;419,84;337,39;-;-;82,45;-;-;209,92;209,92;6;3,0;-;-
"110160 THEOBROMA";7;7;1954,28;1641,34;-;-;312,94;-;-;279,18;279,18;22;3,1;-;-
"110170 URUPA";39;39;23117,38;17942,77;-;-;5174,61;-;-;592,75;592,75;90;2,3;-;-
"110175 VALE DO ANARI";19;19;5380,11;4578,34;-;-;801,77;-;-;283,16;283,16;66;3,5;-;-
"110180 VALE DO PARAISO";14;14;4324,79;3762,84;-;-;561,95;-;-;308,91;308,91;54;3,9;-;-
"120001 ACRELANDIA";15;15;4412,89;3659,10;-;-;753,79;-;-;294,19;294,19;37;2,5;-;-
"120010 BRASILEIA";205;205;85818,38;62220,97;-;-;23597,41;-;-;418,63;418,63;603;2,9;1;0,49
"120020 CRUZEIRO DO SUL";1013;1013;523640,04;373443,53;-;-;150196,51;-;-;516,92;516,92;3449;3,4;14;1,38
"120030 FEIJO";73;73;25955,20;18709,40;-;-;7245,80;-;-;355,55;355,55;179;2,5;1;1,37
"120033 MANCIO LIMA";47;47;15020,50;12605,51;-;-;2414,99;-;-;319,59;319,59;103;2,2;-;-
"120034 MANOEL URBANO";37;37;11025,51;8840,62;-;-;2184,89;-;-;297,99;297,99;100;2,7;-;-
"120035 MARECHAL THAUMATURGO";15;15;1327,69;979,76;-;-;347,93;-;-;88,51;88,51;30;2,0;-;-
"120038 PLACIDO DE CASTRO";27;27;6757,47;5996,70;-;-;760,77;-;-;250,28;250,28;72;2,7;1;3,70
"120039 PORTO WALTER";19;19;6007,97;4517,34;-;-;1490,63;-;-;316,21;316,21;34;1,8;-;-
"120040 RIO BRANCO";2948;2948;3410007,81;2614807,53;-;-;795200,28;-;-;1156,72;1156,72;15142;5,1;118;4,00
"120042 RODRIGUES ALVES";38;38;10165,62;8585,50;-;-;1580,12;-;-;267,52;267,52;104;2,7;-;-
"120045 SENADOR GUIOMARD";37;37;12294,62;9174,37;-;-;3120,25;-;-;332,29;332,29;77;2,1;-;-
"120050 SENA MADUREIRA";180;180;77887,33;57495,33;-;-;20392,00;-;-;432,71;432,71;442;2,5;4;2,22
"120060 TARAUACA";114;114;50225,54;34517,43;-;-;15708,11;-;-;440,57;440,57;183;1,6;-;-
"120070 XAPURI";66;66;21391,58;18586,66;-;-;2804,92;-;-;324,11;324,11;231;3,5;2;3,03
"130002 ALVARAES";25;25;12972,57;8209,05;-;-;4763,52;-;-;518,90;518,90;69;2,8;-;-
"130006 AMATURA";34;34;15309,95;10554,50;-;-;4755,45;-;-;450,29;450,29;100;2,9;1;2,94
"130008 ANAMA";57;57;22771,32;17249,88;-;-;5521,44;-;-;399,50;399,50;154;2,7;-;-
"130010 ANORI";195;195;73887,51;61199,33;-;-;12688,18;-;-;378,91;378,91;455;2,3;-;-
"130014 APUI";86;86;36303,40;26089,25;-;-;10214,15;-;-;422,13;422,13;623;7,2;-;-
"130020 ATALAIA DO NORTE";15;15;4167,34;3487,68;-;-;679,66;-;-;277,82;277,82;22;1,5;1;6,67
"130030 AUTAZES";97;97;46847,61;30236,49;-;-;16611,12;-;-;482,97;482,97;206;2,1;-;-
"130040 BARCELOS";71;71;31821,98;22442,65;-;-;9379,33;-;-;448,20;448,20;205;2,9;1;1,41
"130050 BARREIRINHA";78;78;32007,88;23467,12;-;-;8540,76;-;-;410,36;410,36;242;3,1;2;2,56
"130060 BENJAMIN CONSTANT";57;57;20363,34;14987,05;-;-;5376,29;-;-;357,25;357,25;162;2,8;2;3,51
"130063 BERURI";50;50;18246,43;12590,07;-;-;5656,36;-;-;364,93;364,93;110;2,2;2;4,00
"130068 BOA VISTA DO RAMOS";49;49;24503,33;19812,10;-;-;4691,23;-;-;500,07;500,07;139;2,8;7;14,29
"130070 BOCA DO ACRE";121;121;48748,88;35317,75;-;-;13431,13;-;-;402,88;402,88;341;2,8;2;1,65
"130080 BORBA";130;130;56866,19;42444,54;-;-;14421,65;-;-;437,43;437,43;364;2,8;2;1,54
"130083 CAAPIRANGA";25;25;11855,95;8566,96;-;-;3288,99;-;-;474,24;474,24;69;2,8;-;-
"130090 CANUTAMA";35;35;13812,65;10670,92;-;-;3141,73;-;-;394,65;394,65;105;3,0;1;2,86
"130100 CARAUARI";181;181;128416,17;99981,68;-;-;28434,49;-;-;709,48;709,48;381;2,1;6;3,31
"130110 CAREIRO";112;112;51479,86;37275,19;-;-;14204,67;-;-;459,64;459,64;252;2,3;3;2,68
"130115 CAREIRO DA VARZEA";1;1;155,71;132,16;-;-;23,55;-;-;155,71;155,71;2;2,0;-;-
"130120 COARI";311;311;165681,82;119809,33;-;-;45872,49;-;-;532,74;532,74;830;2,7;8;2,57
"130130 CODAJAS";146;146;54731,90;41453,95;-;-;13277,95;-;-;374,88;374,88;387;2,7;1;0,68
"130140 EIRUNEPE";372;372;213791,43;149648,70;-;-;64142,73;-;-;574,71;574,71;1069;2,9;8;2,15
"130150 ENVIRA";55;55;18452,01;14113,46;-;-;4338,55;-;-;335,49;335,49;191;3,5;1;1,82
"130160 FONTE BOA";104;104;49689,98;33334,00;-;-;16355,98;-;-;477,79;477,79;202;1,9;-;-
"130165 GUAJARA";29;29;8622,04;7231,93;-;-;1390,11;-;-;297,31;297,31;72;2,5;-;-
"130170 HUMAITA";230;230;106610,61;78040,80;-;-;28569,81;-;-;463,52;463,52;863;3,8;3;1,30
"130180 IPIXUNA";192;192;82310,57;65116,58;-;-;17193,99;-;-;428,70;428,70;463;2,4;2;1,04
"130185 IRANDUBA";66;66;41370,27;30284,81;-;-;11085,46;-;-;626,82;626,82;158;2,4;1;1,52
"130190 ITACOATIARA";323;323;174283,63;117725,86;-;-;56557,77;-;-;539,58;539,58;1120;3,5;6;1,86
"130195 ITAMARATI";86;86;35135,50;28027,16;-;-;7108,34;-;-;408,55;408,55;245;2,8;-;-
"130200 ITAPIRANGA";21;21;10627,53;8475,15;-;-;2152,38;-;-;506,07;506,07;65;3,1;1;4,76
"130210 JAPURA";20;20;7005,56;5293,19;-;-;1712,37;-;-;350,28;350,28;35;1,8;-;-
"130230 JUTAI";117;117;48464,10;34612,87;-;-;13851,23;-;-;414,22;414,22;198;1,7;-;-
"130240 LABREA";141;141;63757,04;43451,49;-;-;20305,55;-;-;452,18;452,18;377;2,7;2;1,42
"130250 MANACAPURU";425;425;224774,37;160916,36;-;-;63858,01;-;-;528,88;528,88;1141;2,7;11;2,59
"130255 MANAQUIRI";37;37;13646,74;10571,42;-;-;3075,32;-;-;368,83;368,83;112;3,0;-;-
"130260 MANAUS";8392;8392;13201729,74;10673893,22;-;-;2527836,52;-;-;1573,13;1573,13;55069;6,6;502;5,98
"130270 MANICORE";152;152;76337,02;51346,42;-;-;24990,60;-;-;502,22;502,22;349;2,3;4;2,63
"130290 MAUES";202;202;103044,70;72641,33;-;-;30403,37;-;-;510,12;510,12;872;4,3;7;3,47
"130310 NOVA OLINDA DO NORTE";102;102;44688,19;30377,68;-;-;14310,51;-;-;438,12;438,12;245;2,4;1;0,98
"130320 NOVO AIRAO";86;86;47444,65;36136,60;-;-;11308,05;-;-;551,68;551,68;180;2,1;-;-
"130330 NOVO ARIPUANA";128;128;53120,89;40313,03;-;-;12807,86;-;-;415,01;415,01;340;2,7;1;0,78
"130340 PARINTINS";615;615;268473,67;191671,42;-;-;76802,25;-;-;436,54;436,54;2161;3,5;12;1,95
"130350 PAUINI";73;73;29035,22;21497,83;-;-;7537,39;-;-;397,74;397,74;262;3,6;-;-
"130353 PRESIDENTE FIGUEIREDO";46;46;19990,36;14743,14;-;-;5247,22;-;-;434,57;434,57;176;3,8;1;2,17
"130356 RIO PRETO DA EVA";43;43;28676,14;19181,95;-;-;9494,19;-;-;666,89;666,89;72;1,7;-;-
"130360 SANTA ISABEL DO RIO NEGRO";43;43;16858,96;13195,84;-;-;3663,12;-;-;392,07;392,07;141;3,3;-;-
"130370 SANTO ANTONIO DO ICA";99;99;37286,82;25647,08;-;-;11639,74;-;-;376,63;376,63;242;2,4;-;-
