Per�odo:Set/2023
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"120005 ASSIS BRASIL";56;56;24135,01;19295,35;-;-;4839,66;-;-;430,98;430,98;180;3,2;-;-
"120010 BRASILEIA";231;231;108334,41;80657,45;-;-;27676,96;-;-;468,98;468,98;790;3,4;3;1,30
"120020 CRUZEIRO DO SUL";898;898;468940,90;339902,47;-;-;129038,43;-;-;522,21;522,21;3717;4,1;19;2,12
"120030 FEIJO";102;102;34075,10;24012,53;-;-;10062,57;-;-;334,07;334,07;267;2,6;-;-
"120033 MANCIO LIMA";38;38;14988,44;13253,55;-;-;1734,89;-;-;394,43;394,43;148;3,9;-;-
"120034 MANOEL URBANO";35;35;13236,56;10767,08;-;-;2469,48;-;-;378,19;378,19;116;3,3;-;-
"120035 MARECHAL THAUMATURGO";38;38;8361,80;6984,99;-;-;1376,81;-;-;220,05;220,05;54;1,4;-;-
"120038 PLACIDO DE CASTRO";33;33;8266,15;6657,55;-;-;1608,60;-;-;250,49;250,49;109;3,3;-;-
"120039 PORTO WALTER";17;17;3435,35;2290,36;-;-;1144,99;-;-;202,08;202,08;23;1,4;-;-
"120040 RIO BRANCO";2741;2726;3104008,38;2351228,53;-;-;752779,85;-;-;1132,44;1138,67;15002;5,5;84;3,08
"120042 RODRIGUES ALVES";21;21;4712,03;4044,79;-;-;667,24;-;-;224,38;224,38;37;1,8;-;-
"120045 SENADOR GUIOMARD";100;100;34669,98;25307,52;-;-;9362,46;-;-;346,70;346,70;197;2,0;1;1,00
"120050 SENA MADUREIRA";170;170;65056,49;48796,80;-;-;16259,69;-;-;382,69;382,69;495;2,9;2;1,18
"120060 TARAUACA";201;201;90133,38;63382,33;-;-;26751,05;-;-;448,42;448,42;412;2,0;3;1,49
"120070 XAPURI";78;78;25261,11;21526,16;-;-;3734,95;-;-;323,86;323,86;223;2,9;-;-
"130002 ALVARAES";28;28;12669,92;9163,80;-;-;3506,12;-;-;452,50;452,50;102;3,6;-;-
"130006 AMATURA";22;22;9764,36;7345,57;-;-;2418,79;-;-;443,83;443,83;64;2,9;-;-
"130008 ANAMA";117;117;38616,51;30595,31;-;-;8021,20;-;-;330,06;330,06;331;2,8;-;-
