Per�odo:Abr/2023
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110130 MIRANTE DA SERRA";34;34;19785,50;17350,51;-;-;2434,99;-;-;581,93;581,93;119;3,5;-;-
"110140 MONTE NEGRO";55;55;27468,36;22682,12;-;-;4786,24;-;-;499,42;499,42;237;4,3;-;-
"110143 NOVA UNIAO";23;23;9330,02;8049,94;-;-;1280,08;-;-;405,65;405,65;71;3,1;-;-
"110145 PARECIS";47;47;10995,19;9062,89;-;-;1932,30;-;-;233,94;233,94;47;1,0;-;-
"110146 PIMENTEIRAS DO OESTE";2;2;506,44;417,44;-;-;89,00;-;-;253,22;253,22;11;5,5;-;-
"110149 SAO FRANCISCO DO GUAPORE";62;62;25498,49;19998,62;-;-;5499,87;-;-;411,27;411,27;140;2,3;-;-
"110150 SERINGUEIRAS";128;128;68990,69;52280,45;-;-;16710,24;-;-;538,99;538,99;365;2,9;4;3,13
"110155 TEIXEIROPOLIS";5;5;2206,24;1927,33;-;-;278,91;-;-;441,25;441,25;16;3,2;-;-
"110160 THEOBROMA";13;13;6486,54;5650,14;-;-;836,40;-;-;498,96;498,96;80;6,2;-;-
"110170 URUPA";46;46;28143,55;21949,81;-;-;6193,74;-;-;611,82;611,82;121;2,6;1;2,17
"110175 VALE DO ANARI";24;24;9073,78;7914,69;-;-;1159,09;-;-;378,07;378,07;100;4,2;-;-
"110180 VALE DO PARAISO";21;21;8553,24;7455,04;-;-;1098,20;-;-;407,30;407,30;55;2,6;-;-
"120001 ACRELANDIA";20;20;9084,87;7941,85;-;-;1143,02;-;-;454,24;454,24;60;3,0;1;5,00
"120005 ASSIS BRASIL";38;38;14228,52;11885,96;-;-;2342,56;-;-;374,43;374,43;110;2,9;-;-
"120010 BRASILEIA";250;250;105689,50;74564,85;-;-;31124,65;-;-;422,76;422,76;841;3,4;8;3,20
"120020 CRUZEIRO DO SUL";967;967;496342,45;351893,78;-;-;144448,67;-;-;513,28;513,28;3482;3,6;18;1,86
"120030 FEIJO";45;45;16720,52;11747,39;-;-;4973,13;-;-;371,57;371,57;116;2,6;-;-
"120033 MANCIO LIMA";50;50;16005,68;13694,19;-;-;2311,49;-;-;320,11;320,11;130;2,6;-;-
"120034 MANOEL URBANO";36;36;10677,04;8970,12;-;-;1706,92;-;-;296,58;296,58;94;2,6;1;2,78
"120035 MARECHAL THAUMATURGO";39;39;3934,64;3263,16;-;-;671,48;-;-;100,89;100,89;74;1,9;-;-
"120038 PLACIDO DE CASTRO";29;29;10403,01;9114,47;-;-;1288,54;-;-;358,72;358,72;115;4,0;-;-
"120039 PORTO WALTER";13;13;3004,15;2292,91;-;-;711,24;-;-;231,09;231,09;20;1,5;-;-
"120040 RIO BRANCO";3031;3031;3824161,97;2942950,80;-;-;881211,17;-;-;1261,68;1261,68;16835;5,6;147;4,85
"120043 SANTA ROSA DO PURUS";25;25;8733,31;6899,08;-;-;1834,23;-;-;349,33;349,33;36;1,4;1;4,00
"120045 SENADOR GUIOMARD";75;75;26370,66;19860,18;-;-;6510,48;-;-;351,61;351,61;235;3,1;2;2,67
"120050 SENA MADUREIRA";165;165;60473,00;45009,06;-;-;15463,94;-;-;366,50;366,50;485;2,9;1;0,61
"120060 TARAUACA";174;174;76373,18;54619,21;-;-;21753,97;-;-;438,93;438,93;377;2,2;2;1,15
"120070 XAPURI";53;53;18980,04;16458,64;-;-;2521,40;-;-;358,11;358,11;148;2,8;2;3,77
"130002 ALVARAES";46;46;23139,33;15462,11;-;-;7677,22;-;-;503,03;503,03;148;3,2;-;-
"130006 AMATURA";48;48;23812,60;16507,90;-;-;7304,70;-;-;496,10;496,10;98;2,0;-;-
"130008 ANAMA";71;71;26716,52;21011,37;-;-;5705,15;-;-;376,29;376,29;184;2,6;-;-
"130010 ANORI";147;147;59152,18;49413,12;-;-;9739,06;-;-;402,40;402,40;352;2,4;1;0,68
"130014 APUI";109;109;48540,37;35935,02;-;-;12605,35;-;-;445,32;445,32;312;2,9;1;0,92
"130020 ATALAIA DO NORTE";36;36;12561,36;9946,87;-;-;2614,49;-;-;348,93;348,93;88;2,4;-;-
"130030 AUTAZES";139;139;71415,77;50172,98;-;-;21242,79;-;-;513,78;513,78;373;2,7;1;0,72
"130040 BARCELOS";102;102;39382,04;29592,22;-;-;9789,82;-;-;386,10;386,10;312;3,1;2;1,96
"130050 BARREIRINHA";96;96;39764,68;29763,53;-;-;10001,15;-;-;414,22;414,22;261;2,7;-;-
"130060 BENJAMIN CONSTANT";95;95;36799,82;26119,12;-;-;10680,70;-;-;387,37;387,37;207;2,2;1;1,05
"130063 BERURI";52;52;18660,55;13501,03;-;-;5159,52;-;-;358,86;358,86;125;2,4;2;3,85
"130068 BOA VISTA DO RAMOS";44;44;18950,74;14719,74;-;-;4231,00;-;-;430,70;430,70;147;3,3;-;-
"130070 BOCA DO ACRE";168;168;73938,47;53990,98;-;-;19947,49;-;-;440,11;440,11;503;3,0;-;-
"130080 BORBA";189;189;78243,71;59058,49;-;-;19185,22;-;-;413,99;413,99;483;2,6;-;-
"130083 CAAPIRANGA";30;30;11325,61;8114,68;-;-;3210,93;-;-;377,52;377,52;76;2,5;-;-
"130090 CANUTAMA";35;35;16844,49;12340,71;-;-;4503,78;-;-;481,27;481,27;85;2,4;-;-
"130100 CARAUARI";77;77;48256,61;35623,10;-;-;12633,51;-;-;626,71;626,71;225;2,9;3;3,90
"130110 CAREIRO";119;119;51712,91;36103,98;-;-;15608,93;-;-;434,56;434,56;233;2,0;-;-
"130115 CAREIRO DA VARZEA";2;2;825,10;716,07;-;-;109,03;-;-;412,55;412,55;4;2,0;-;-
"130120 COARI";356;356;218257,46;152722,92;-;-;65534,54;-;-;613,08;613,08;892;2,5;6;1,69
"130130 CODAJAS";108;108;40907,57;31741,33;-;-;9166,24;-;-;378,77;378,77;291;2,7;2;1,85
"130150 ENVIRA";90;90;33200,67;24957,01;-;-;8243,66;-;-;368,90;368,90;233;2,6;-;-
"130160 FONTE BOA";110;110;49008,28;34466,94;-;-;14541,34;-;-;445,53;445,53;232;2,1;3;2,73
"130165 GUAJARA";18;18;6252,29;5161,78;-;-;1090,51;-;-;347,35;347,35;58;3,2;-;-
"130170 HUMAITA";112;112;58190,50;38936,87;-;-;19253,63;-;-;519,56;519,56;274;2,4;-;-
"130180 IPIXUNA";197;197;96158,91;74637,92;-;-;21520,99;-;-;488,12;488,12;473;2,4;-;-
"130185 IRANDUBA";104;104;54218,62;43634,57;-;-;10584,05;-;-;521,33;521,33;326;3,1;1;0,96
"130190 ITACOATIARA";368;368;206611,51;139914,58;-;-;66696,93;-;-;561,44;561,44;1178;3,2;3;0,82
"130195 ITAMARATI";94;94;40604,45;31171,92;-;-;9432,53;-;-;431,96;431,96;302;3,2;1;1,06
"130200 ITAPIRANGA";34;34;16833,91;12517,46;-;-;4316,45;-;-;495,12;495,12;85;2,5;1;2,94
"130210 JAPURA";42;42;14330,88;10755,65;-;-;3575,23;-;-;341,21;341,21;81;1,9;-;-
"130230 JUTAI";143;143;54787,75;40463,05;-;-;14324,70;-;-;383,13;383,13;252;1,8;-;-
