Per�odo:Mai/2024
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"120038 PLACIDO DE CASTRO";50;50;19848,76;16332,02;-;-;3516,74;-;-;396,98;396,98;142;2,8;-;-
"120039 PORTO WALTER";48;48;13079,39;9409,18;-;-;3670,21;-;-;272,49;272,49;67;1,4;-;-
"120040 RIO BRANCO";2979;2976;3358096,35;2514270,10;-;-;843826,25;-;-;1127,26;1128,39;16147;5,4;99;3,33
"120042 RODRIGUES ALVES";32;32;6958,09;5895,15;-;-;1062,94;-;-;217,44;217,44;55;1,7;-;-
"120043 SANTA ROSA DO PURUS";18;18;6387,56;4766,97;-;-;1620,59;-;-;354,86;354,86;33;1,8;2;11,11
"120045 SENADOR GUIOMARD";90;90;32742,32;23509,82;-;-;9232,50;-;-;363,80;363,80;226;2,5;-;-
"120050 SENA MADUREIRA";133;133;60288,77;45606,10;-;-;14682,67;-;-;453,30;453,30;326;2,5;3;2,26
"120060 TARAUACA";182;182;76545,24;56970,71;-;-;19574,53;-;-;420,58;420,58;451;2,5;-;-
"120070 XAPURI";47;47;19199,65;16376,13;-;-;2823,52;-;-;408,50;408,50;162;3,4;1;2,13
"130002 ALVARAES";70;70;30445,29;22855,87;-;-;7589,42;-;-;434,93;434,93;275;3,9;-;-
"130008 ANAMA";149;149;47442,14;39892,95;-;-;7549,19;-;-;318,40;318,40;467;3,1;-;-
"130010 ANORI";150;150;59927,31;46070,29;-;-;13857,02;-;-;399,52;399,52;350;2,3;-;-
"130014 APUI";75;75;30017,62;22176,39;-;-;7841,23;-;-;400,23;400,23;252;3,4;2;2,67
"130020 ATALAIA DO NORTE";67;67;29887,24;22955,77;-;-;6931,47;-;-;446,08;446,08;178;2,7;2;2,99
"130030 AUTAZES";126;126;65234,97;44871,65;-;-;20363,32;-;-;517,74;517,74;359;2,8;-;-
"130040 BARCELOS";68;68;25177,22;18802,26;-;-;6374,96;-;-;370,25;370,25;216;3,2;1;1,47
