Per�odo:Jan/2024
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210570 LAGO DA PEDRA";695;695;534961,80;425375,78;-;-;109586,02;-;-;769,73;769,73;2239;3,2;29;4,17
"210580 LAGO DO JUNCO";70;70;17791,51;14367,75;-;-;3423,76;-;-;254,16;254,16;96;1,4;-;-
"210594 LAGO DOS RODRIGUES";46;46;19063,60;16233,51;-;-;2830,09;-;-;414,43;414,43;396;8,6;-;-
"210596 LAGOA GRANDE DO MARANHAO";10;10;4015,20;2809,71;-;-;1205,49;-;-;401,52;401,52;38;3,8;-;-
"210600 LIMA CAMPOS";73;73;32550,44;24355,75;-;-;8194,69;-;-;445,90;445,90;224;3,1;3;4,11
"210610 LORETO";25;25;14032,16;12545,92;-;-;1486,24;-;-;561,29;561,29;74;3,0;-;-
"210630 MAGALHAES DE ALMEIDA";27;27;11916,27;9732,46;-;-;2183,81;-;-;441,34;441,34;116;4,3;-;-
"210637 MARANHAOZINHO";78;78;23864,29;20985,78;-;-;2878,51;-;-;305,95;305,95;243;3,1;-;-
"210650 MATINHA";54;54;22265,09;16305,03;-;-;5960,06;-;-;412,32;412,32;239;4,4;-;-
"210660 MATOES";107;107;44416,63;34015,08;-;-;10401,55;-;-;415,11;415,11;219;2,0;3;2,80
"210675 MIRANDA DO NORTE";38;38;14056,77;12040,19;-;-;2016,58;-;-;369,92;369,92;123;3,2;1;2,63
"210680 MIRINZAL";73;73;24853,21;20802,54;-;-;4050,67;-;-;340,45;340,45;151;2,1;-;-
"210690 MONCAO";197;197;76152,52;60499,04;-;-;15653,48;-;-;386,56;386,56;683;3,5;3;1,52
"210700 MONTES ALTOS";10;10;3472,10;3026,05;-;-;446,05;-;-;347,21;347,21;20;2,0;-;-
"210710 MORROS";103;103;39494,97;30555,18;-;-;8939,79;-;-;383,45;383,45;360;3,5;1;0,97
"210720 NINA RODRIGUES";66;66;20138,94;15823,75;-;-;4315,19;-;-;305,14;305,14;197;3,0;-;-
"210725 NOVA COLINAS";32;32;8906,61;7474,83;-;-;1431,78;-;-;278,33;278,33;101;3,2;-;-
"210735 NOVA OLINDA DO MARANHAO";114;114;44426,13;37052,14;-;-;7373,99;-;-;389,70;389,70;228;2,0;-;-
"210740 OLHO D'AGUA DAS CUNHAS";110;110;38540,96;32071,05;-;-;6469,91;-;-;350,37;350,37;329;3,0;-;-
